# TITLE= "qso_100.lineC4.dat"
# Coord_Sys CYLIND
x z var inwind i j
2.2142e+16 4.7121e+17 0.00000e+00  -1   0 133
2.2142e+16 4.9407e+17 0.00000e+00  -1   0 134
2.2142e+16 5.1803e+17 0.00000e+00  -1   0 135
2.2142e+16 5.4316e+17 0.00000e+00  -1   0 136
2.2142e+16 5.6951e+17 0.00000e+00  -1   0 137
2.2142e+16 5.9714e+17 0.00000e+00  -1   0 138
2.2142e+16 6.2610e+17 0.00000e+00  -1   0 139
2.2142e+16 6.5648e+17 0.00000e+00  -1   0 140
2.2142e+16 6.8832e+17 0.00000e+00  -1   0 141
2.2142e+16 7.2171e+17 0.00000e+00  -1   0 142
2.2142e+16 7.5672e+17 0.00000e+00  -1   0 143
2.2142e+16 7.9343e+17 0.00000e+00  -1   0 144
2.2142e+16 8.3192e+17 0.00000e+00  -1   0 145
2.2142e+16 8.7227e+17 0.00000e+00  -1   0 146
2.2142e+16 9.1459e+17 0.00000e+00  -1   0 147
2.2142e+16 9.5895e+17 0.00000e+00  -1   0 148
2.2142e+16 1.0055e+18 0.00000e+00  -1   0 149
2.2142e+16 1.0542e+18 0.00000e+00  -1   0 150
2.2142e+16 1.1054e+18 0.00000e+00  -1   0 151
2.2142e+16 1.1590e+18 0.00000e+00  -1   0 152
2.2142e+16 1.2152e+18 0.00000e+00  -1   0 153
2.2142e+16 1.2742e+18 0.00000e+00  -1   0 154
2.2142e+16 1.3360e+18 0.00000e+00  -1   0 155
2.2142e+16 1.4008e+18 0.00000e+00  -1   0 156
2.2142e+16 1.4687e+18 0.00000e+00  -1   0 157
2.2142e+16 1.5400e+18 0.00000e+00  -1   0 158
2.2142e+16 1.6147e+18 0.00000e+00  -1   0 159
2.2142e+16 1.6930e+18 0.00000e+00  -1   0 160
2.2142e+16 1.7752e+18 0.00000e+00  -1   0 161
2.2142e+16 1.8613e+18 0.00000e+00  -1   0 162
2.2142e+16 1.9516e+18 0.00000e+00  -1   0 163
2.2142e+16 2.0462e+18 0.00000e+00  -1   0 164
2.2142e+16 2.1455e+18 0.00000e+00  -1   0 165
2.2142e+16 2.2496e+18 0.00000e+00  -1   0 166
2.2142e+16 2.3587e+18 0.00000e+00  -1   0 167
2.2142e+16 2.4731e+18 0.00000e+00  -1   0 168
2.2142e+16 2.5931e+18 0.00000e+00  -1   0 169
2.2142e+16 2.7189e+18 0.00000e+00  -1   0 170
2.2142e+16 2.8507e+18 0.00000e+00  -1   0 171
2.2142e+16 2.9890e+18 0.00000e+00  -1   0 172
2.2142e+16 3.1340e+18 0.00000e+00  -1   0 173
2.2142e+16 3.2861e+18 0.00000e+00  -1   0 174
2.2142e+16 3.4455e+18 0.00000e+00  -1   0 175
2.2142e+16 3.6126e+18 0.00000e+00  -1   0 176
2.2142e+16 3.7878e+18 0.00000e+00  -1   0 177
2.2142e+16 3.9716e+18 0.00000e+00  -1   0 178
2.2142e+16 4.1642e+18 0.00000e+00  -1   0 179
2.2142e+16 4.3662e+18 0.00000e+00  -1   0 180
2.2142e+16 4.5780e+18 0.00000e+00  -1   0 181
2.2142e+16 4.8001e+18 0.00000e+00  -1   0 182
2.2142e+16 5.0330e+18 0.00000e+00  -1   0 183
2.2142e+16 5.2771e+18 0.00000e+00  -1   0 184
2.2142e+16 5.5331e+18 0.00000e+00  -1   0 185
2.2142e+16 5.8015e+18 0.00000e+00  -1   0 186
2.2142e+16 6.0829e+18 0.00000e+00  -1   0 187
2.2142e+16 6.3780e+18 0.00000e+00  -1   0 188
2.2142e+16 6.6874e+18 0.00000e+00  -1   0 189
2.2142e+16 7.0118e+18 0.00000e+00  -1   0 190
2.2142e+16 7.3519e+18 0.00000e+00  -1   0 191
2.2142e+16 7.7086e+18 0.00000e+00  -1   0 192
2.2142e+16 8.0825e+18 0.00000e+00  -1   0 193
2.2142e+16 8.4746e+18 0.00000e+00  -1   0 194
2.2142e+16 8.8857e+18 0.00000e+00  -1   0 195
2.2142e+16 9.3167e+18 0.00000e+00  -1   0 196
2.2142e+16 9.7687e+18 0.00000e+00  -1   0 197
2.2142e+16 1.0243e+19 0.00000e+00  -1   0 198
2.2142e+16 1.0739e+19 0.00000e+00  -1   0 199
4.4901e+16 4.4283e+14 2.95180e+39   1   1   0
4.4901e+16 9.0715e+14 0.00000e+00  -1   1   1
4.4901e+16 9.5115e+14 0.00000e+00  -1   1   2
4.4901e+16 9.9729e+14 0.00000e+00  -1   1   3
4.4901e+16 1.0457e+15 0.00000e+00  -1   1   4
4.4901e+16 1.0964e+15 0.00000e+00  -1   1   5
4.4901e+16 1.1496e+15 0.00000e+00  -1   1   6
4.4901e+16 1.2053e+15 0.00000e+00  -1   1   7
4.4901e+16 1.2638e+15 0.00000e+00  -1   1   8
4.4901e+16 1.3251e+15 0.00000e+00  -1   1   9
4.4901e+16 1.3894e+15 0.00000e+00  -1   1  10
4.4901e+16 1.4568e+15 0.00000e+00  -1   1  11
4.4901e+16 1.5275e+15 0.00000e+00  -1   1  12
4.4901e+16 1.6016e+15 0.00000e+00  -1   1  13
4.4901e+16 1.6793e+15 0.00000e+00  -1   1  14
4.4901e+16 1.7607e+15 0.00000e+00  -1   1  15
4.4901e+16 1.8461e+15 0.00000e+00  -1   1  16
4.4901e+16 1.9357e+15 0.00000e+00  -1   1  17
